世界一やさしい エクセル ワード 2019/Microsoft 365対応	¥680＋税	2020/9/29	トップスタジオ　著
ドローンビジネス調査報告書2021【インフラ・設備点検編】	¥95,000＋税	2020/9/17	青山祐介　著/インプレス総合研究所　著
ふわふわCats Diary 2021	¥800＋税	2020/9/4	石橋絵　写真
予定がパパッと見やすいママの手帳 Family Diary 2021	¥1,200＋税	2020/9/4	インプレス手帳編集部　編
お金がどんどん貯まる手帳 2021	¥1,000＋税	2020/9/4	インプレス手帳編集部　編
ころころしばいぬDiary 2021	¥800＋税	2020/9/4	小川晃代　写真/湯沢祐介　写真
ふわふわこいぬDiary 2021	¥800＋税	2020/9/4	小川晃代　写真/湯沢祐介　写真
できるポケット テレワーク必携 Microsoft Teams全事典 Microsoft 365＆無料版対応	¥1,280＋税	2020/9/4	株式会社インサイトイメージ　著/できるシリーズ編集部　著
できるZoom ビデオ会議が使いこなせる本	¥1,580＋税	2020/9/2	法林岳之　著/清水理史　著/できるシリーズ編集部　著
世界一やさしいZoom	¥480＋税	2020/8/31	松下 典子　著
徹底攻略 データベーススペシャリスト教科書 令和3年度	¥2,580＋税	2020/8/28	株式会社わくわくスタディワールド瀬戸美月　著
顧客体験マーケティング 顧客の変化を読み解いて「売れる」を再現する（Web担選書）	¥1,800＋税	2020/8/24	村山幹朗　著/芹澤 連　著
スーツがキマる！若返る！アンジャッシュ児嶋のおっさんずヨガ	¥1,350＋税	2020/8/24	加藤広大　監修/山下真由実　監修
1週間でC言語の基礎が学べる本	¥2,500＋税	2020/8/24	⻲⽥ 健司　著
松坂世代、それから	¥2,200＋税	2020/8/24	矢崎良一　著
いちばんやさしいPythonの教本 第2版 人気講師が教える基礎からサーバサイド開発まで	¥2,200＋税	2020/8/24	鈴木たかのり　著/株式会社ビープラウド　著
Pythonで学ぶ音源分離（機械学習実践シリーズ）	¥3,500＋税	2020/8/24	戸上真人　著
できる 仕事がはかどるPython＆Excel自動処理 全部入り。	¥2,150＋税	2020/8/24	リブロワークス　著/株式会社ビープラウド　監修
電子書籍ビジネス調査報告書2020	¥78,000＋税	2020/8/21	インプレス総合研究所　編著/落合早苗　他著
デジタルカメラマガジン 2020年9月号	¥1,000＋税	2020/8/20	デジタルカメラマガジン編集部　編
Kubernetes完全ガイド 第2版	¥4,000＋税	2020/8/7	⻘⼭真也　著
Elastic Stack実践ガイド［Elasticsearch/Kibana編］	¥3,000＋税	2020/8/7	惣道 哲也　著
世界一やさしいiPhone SE	¥480＋税	2020/7/29	TEKIKAKU　著
できるOutlookパーフェクトブック 困った！＆便利ワザ大全 2019/2016/2013＆Microsoft 365対応	¥1,680＋税	2020/7/28	三沢友治　著/できるシリーズ編集部　著
できるMicrosoft 365 Business/Enterprise対応	¥1,800＋税	2020/7/27	株式会社インサイトイメージ　著/できるシリーズ編集部　著
Pitch ピッチ 世界を変える提案のメソッド	¥1,600＋税	2020/7/27	Open Network Lab　著
ゼロからはじめるテレワーク実践ガイド ツールとアイデアで実現する「どこでも仕事」完全ノウハウ（できるビジネス）	¥1,600＋税	2020/7/22	田口和裕　著/森嶋良子　著
つなげば動く！ Pythonふりがなプログラミング パターン文例80	¥2,200＋税	2020/7/22	リブロワークス　著/株式会社ビープラウド　監修
デジタルカメラマガジン 2020年8月号	¥1,000＋税	2020/7/18	デジタルカメラマガジン編集部　編
動画配信ビジネス調査報告書2020［With／Afterコロナで変わる社会、動画配信の今後を占う］	¥95,000＋税	2020/7/17	森田秀一　著/インプレス総合研究所　著
イモヅル式 ITパスポート コンパクト演習	¥1,280＋税	2020/7/17	石川敢也　著
風景写真の7ピース 撮影イメージがひらめくアイデアノート	¥1,700＋税	2020/7/17	柄木孝志　著/木村琢磨　著
